2018-01-26 15:55:58.671 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/swagger-resources/configuration/security]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
2018-01-26 15:55:58.673 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/swagger-resources/configuration/ui]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
2018-01-26 15:55:58.674 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/swagger-resources]}" onto public org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
2018-01-26 15:55:59.556 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(568) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringMVC-servlet': startup date [Fri Jan 26 15:55:56 CST 2018]; parent: Root WebApplicationContext
2018-01-26 15:55:59.907 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(568) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringMVC-servlet': startup date [Fri Jan 26 15:55:56 CST 2018]; parent: Root WebApplicationContext
2018-01-26 15:56:00.439 INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping.registerHandler(373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-01-26 15:56:00.867 INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping.registerHandler(373) - Mapped URL path [/swagger-ui.html] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2018-01-26 15:56:00.955 INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping.registerHandler(373) - Mapped URL path [/webjars/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#1'
2018-01-26 15:56:02.156 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/api/auth/login],methods=[POST],headers=[version=1]}" onto public com.coderfamily.lamj.common.data.Result com.coderfamily.lamj.controller.AuthorizedController.login(java.lang.String,java.lang.String)
2018-01-26 15:56:02.160 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/api/user/insert],methods=[POST],headers=[version=1]}" onto public com.coderfamily.lamj.common.data.Result com.coderfamily.lamj.controller.UserController.insert(java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,java.lang.String)
